[2025-09-04 03:02:56] [INFO    ] discord.client: logging in using static token
[2025-09-04 03:02:56] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-09-04 03:02:56] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-09-04 03:02:56] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1412857651754307604', 'username': 'lil bot', 'avatar': '5851e1fa79a87a502a75b48244161427', 'discriminator': '6459', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-09-04 03:02:56] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-09-04 03:02:56] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-09-04 03:02:56] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1412857651754307604', 'name': 'lil bot', 'icon': '5851e1fa79a87a502a75b48244161427', 'description': '', 'type': None, 'bot': {'id': '1412857651754307604', 'username': 'lil bot', 'avatar': '5851e1fa79a87a502a75b48244161427', 'discriminator': '6459', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '4430befa5d4b61aa6f61a21cfc50c32033e56b9bed5b2c7a6d1850c0d4fd315a', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '832223350322888746', 'username': 'ketaminelatte', 'avatar': 'd91d5fb410f1445b54b5ee986dfefac9', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 0, 'global_name': 'aiz', 'avatar_decoration_data': {'asset': 'a_0069508db0a9808eca00878578e6c34a', 'sku_id': '1404559955960270922', 'expires_at': 1761001200}, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#000000', 'clan': {'identity_guild_id': '999429627464388728', 'identity_enabled': True, 'tag': 'ܔܔܛܔ', 'badge': 'ea76d37bcd6f1b0543efcce6c32fe999'}, 'primary_guild': {'identity_guild_id': '999429627464388728', 'identity_enabled': True, 'tag': 'ܔܔܛܔ', 'badge': 'ea76d37bcd6f1b0543efcce6c32fe999'}}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-09-04 03:02:57] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-09-04 03:02:57] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-knkn",{"micros":0.0}]']}}
[2025-09-04 03:02:57] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-09-04 03:02:57] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
